filename,class,label,filepath
0006 (4).jpg,4,cat,images/train/REAL/0006 (4).jpg
0006 (5).jpg,5,deer,images/train/REAL/0006 (5).jpg
0006 (6).jpg,6,dog,images/train/REAL/0006 (6).jpg
0006 (7).jpg,7,frog,images/train/REAL/0006 (7).jpg
0006 (8).jpg,8,horse,images/train/REAL/0006 (8).jpg
0006 (9).jpg,9,ship,images/train/REAL/0006 (9).jpg
0006.jpg,1,airplane,images/train/REAL/0006.jpg
0007 (10).jpg,10,truck,images/train/REAL/0007 (10).jpg
0007 (2).jpg,2,automobile,images/train/REAL/0007 (2).jpg
0007 (3).jpg,3,bird,images/train/REAL/0007 (3).jpg
0007 (4).jpg,4,cat,images/train/REAL/0007 (4).jpg
0007 (5).jpg,5,deer,images/train/REAL/0007 (5).jpg
0007 (6).jpg,6,dog,images/train/REAL/0007 (6).jpg
0007 (7).jpg,7,frog,images/train/REAL/0007 (7).jpg
0007 (8).jpg,8,horse,images/train/REAL/0007 (8).jpg
0007 (9).jpg,9,ship,images/train/REAL/0007 (9).jpg
0007.jpg,1,airplane,images/train/REAL/0007.jpg
0008 (10).jpg,10,truck,images/train/REAL/0008 (10).jpg
0008 (2).jpg,2,automobile,images/train/REAL/0008 (2).jpg
0008 (3).jpg,3,bird,images/train/REAL/0008 (3).jpg
0008 (4).jpg,4,cat,images/train/REAL/0008 (4).jpg
0008 (5).jpg,5,deer,images/train/REAL/0008 (5).jpg
0008 (6).jpg,6,dog,images/train/REAL/0008 (6).jpg
0008 (7).jpg,7,frog,images/train/REAL/0008 (7).jpg
0008 (8).jpg,8,horse,images/train/REAL/0008 (8).jpg
0008 (9).jpg,9,ship,images/train/REAL/0008 (9).jpg
0008.jpg,1,airplane,images/train/REAL/0008.jpg
0009 (10).jpg,10,truck,images/train/REAL/0009 (10).jpg
0009 (2).jpg,2,automobile,images/train/REAL/0009 (2).jpg
0009 (3).jpg,3,bird,images/train/REAL/0009 (3).jpg
0009 (4).jpg,4,cat,images/train/REAL/0009 (4).jpg
0009 (5).jpg,5,deer,images/train/REAL/0009 (5).jpg
0009 (6).jpg,6,dog,images/train/REAL/0009 (6).jpg
0009 (7).jpg,7,frog,images/train/REAL/0009 (7).jpg
0009 (8).jpg,8,horse,images/train/REAL/0009 (8).jpg
0009 (9).jpg,9,ship,images/train/REAL/0009 (9).jpg
0009.jpg,1,airplane,images/train/REAL/0009.jpg
0010 (10).jpg,10,truck,images/train/REAL/0010 (10).jpg
0010 (2).jpg,2,automobile,images/train/REAL/0010 (2).jpg
0010 (3).jpg,3,bird,images/train/REAL/0010 (3).jpg
0010 (4).jpg,4,cat,images/train/REAL/0010 (4).jpg
0010 (5).jpg,5,deer,images/train/REAL/0010 (5).jpg
0010 (6).jpg,6,dog,images/train/REAL/0010 (6).jpg
0010 (7).jpg,7,frog,images/train/REAL/0010 (7).jpg
0010 (8).jpg,8,horse,images/train/REAL/0010 (8).jpg
0010 (9).jpg,9,ship,images/train/REAL/0010 (9).jpg
0010.jpg,1,airplane,images/train/REAL/0010.jpg
0011 (10).jpg,10,truck,images/train/REAL/0011 (10).jpg
0011 (2).jpg,2,automobile,images/train/REAL/0011 (2).jpg
0011 (3).jpg,3,bird,images/train/REAL/0011 (3).jpg
0011 (4).jpg,4,cat,images/train/REAL/0011 (4).jpg
0011 (5).jpg,5,deer,images/train/REAL/0011 (5).jpg
0011 (6).jpg,6,dog,images/train/REAL/0011 (6).jpg
0011 (7).jpg,7,frog,images/train/REAL/0011 (7).jpg
0011 (8).jpg,8,horse,images/train/REAL/0011 (8).jpg
0011 (9).jpg,9,ship,images/train/REAL/0011 (9).jpg
0011.jpg,1,airplane,images/train/REAL/0011.jpg
0012 (10).jpg,10,truck,images/train/REAL/0012 (10).jpg
0012 (2).jpg,2,automobile,images/train/REAL/0012 (2).jpg
0012 (3).jpg,3,bird,images/train/REAL/0012 (3).jpg
0012 (4).jpg,4,cat,images/train/REAL/0012 (4).jpg
0012 (5).jpg,5,deer,images/train/REAL/0012 (5).jpg
0012 (6).jpg,6,dog,images/train/REAL/0012 (6).jpg
0012 (7).jpg,7,frog,images/train/REAL/0012 (7).jpg
0012 (8).jpg,8,horse,images/train/REAL/0012 (8).jpg
0012 (9).jpg,9,ship,images/train/REAL/0012 (9).jpg
0012.jpg,1,airplane,images/train/REAL/0012.jpg
0013 (10).jpg,10,truck,images/train/REAL/0013 (10).jpg
0013 (2).jpg,2,automobile,images/train/REAL/0013 (2).jpg
0013 (3).jpg,3,bird,images/train/REAL/0013 (3).jpg
0013 (4).jpg,4,cat,images/train/REAL/0013 (4).jpg
0013 (5).jpg,5,deer,images/train/REAL/0013 (5).jpg
0013 (6).jpg,6,dog,images/train/REAL/0013 (6).jpg
0013 (7).jpg,7,frog,images/train/REAL/0013 (7).jpg
0013 (8).jpg,8,horse,images/train/REAL/0013 (8).jpg
0013 (9).jpg,9,ship,images/train/REAL/0013 (9).jpg
0013.jpg,1,airplane,images/train/REAL/0013.jpg
0014 (10).jpg,10,truck,images/train/REAL/0014 (10).jpg
0014 (2).jpg,2,automobile,images/train/REAL/0014 (2).jpg
0014 (3).jpg,3,bird,images/train/REAL/0014 (3).jpg
0014 (4).jpg,4,cat,images/train/REAL/0014 (4).jpg
0014 (5).jpg,5,deer,images/train/REAL/0014 (5).jpg
0014 (6).jpg,6,dog,images/train/REAL/0014 (6).jpg
0014 (7).jpg,7,frog,images/train/REAL/0014 (7).jpg
0014 (8).jpg,8,horse,images/train/REAL/0014 (8).jpg
0014 (9).jpg,9,ship,images/train/REAL/0014 (9).jpg
0014.jpg,1,airplane,images/train/REAL/0014.jpg
0015 (10).jpg,10,truck,images/train/REAL/0015 (10).jpg
0015 (2).jpg,2,automobile,images/train/REAL/0015 (2).jpg
0015 (3).jpg,3,bird,images/train/REAL/0015 (3).jpg
0015 (4).jpg,4,cat,images/train/REAL/0015 (4).jpg
0015 (5).jpg,5,deer,images/train/REAL/0015 (5).jpg
0015 (6).jpg,6,dog,images/train/REAL/0015 (6).jpg
0015 (7).jpg,7,frog,images/train/REAL/0015 (7).jpg
0015 (8).jpg,8,horse,images/train/REAL/0015 (8).jpg
0015 (9).jpg,9,ship,images/train/REAL/0015 (9).jpg
0015.jpg,1,airplane,images/train/REAL/0015.jpg
0016 (10).jpg,10,truck,images/train/REAL/0016 (10).jpg
0016 (2).jpg,2,automobile,images/train/REAL/0016 (2).jpg
0016 (3).jpg,3,bird,images/train/REAL/0016 (3).jpg
0016 (4).jpg,4,cat,images/train/REAL/0016 (4).jpg
0016 (5).jpg,5,deer,images/train/REAL/0016 (5).jpg
0016 (6).jpg,6,dog,images/train/REAL/0016 (6).jpg
0016 (7).jpg,7,frog,images/train/REAL/0016 (7).jpg
0016 (8).jpg,8,horse,images/train/REAL/0016 (8).jpg
0016 (9).jpg,9,ship,images/train/REAL/0016 (9).jpg
0016.jpg,1,airplane,images/train/REAL/0016.jpg
0017 (10).jpg,10,truck,images/train/REAL/0017 (10).jpg
0017 (2).jpg,2,automobile,images/train/REAL/0017 (2).jpg
0017 (3).jpg,3,bird,images/train/REAL/0017 (3).jpg
0017 (4).jpg,4,cat,images/train/REAL/0017 (4).jpg
0017 (5).jpg,5,deer,images/train/REAL/0017 (5).jpg
0017 (6).jpg,6,dog,images/train/REAL/0017 (6).jpg
0017 (7).jpg,7,frog,images/train/REAL/0017 (7).jpg
0017 (8).jpg,8,horse,images/train/REAL/0017 (8).jpg
0017 (9).jpg,9,ship,images/train/REAL/0017 (9).jpg
0017.jpg,1,airplane,images/train/REAL/0017.jpg
0018 (10).jpg,10,truck,images/train/REAL/0018 (10).jpg
0018 (2).jpg,2,automobile,images/train/REAL/0018 (2).jpg
0018 (3).jpg,3,bird,images/train/REAL/0018 (3).jpg
0018 (4).jpg,4,cat,images/train/REAL/0018 (4).jpg
0018 (5).jpg,5,deer,images/train/REAL/0018 (5).jpg
0018 (6).jpg,6,dog,images/train/REAL/0018 (6).jpg
0018 (7).jpg,7,frog,images/train/REAL/0018 (7).jpg
0018 (8).jpg,8,horse,images/train/REAL/0018 (8).jpg
0018 (9).jpg,9,ship,images/train/REAL/0018 (9).jpg
0018.jpg,1,airplane,images/train/REAL/0018.jpg
0019 (10).jpg,10,truck,images/train/REAL/0019 (10).jpg
0019 (2).jpg,2,automobile,images/train/REAL/0019 (2).jpg
0019 (3).jpg,3,bird,images/train/REAL/0019 (3).jpg
0019 (4).jpg,4,cat,images/train/REAL/0019 (4).jpg
0019 (5).jpg,5,deer,images/train/REAL/0019 (5).jpg
0019 (6).jpg,6,dog,images/train/REAL/0019 (6).jpg
0019 (7).jpg,7,frog,images/train/REAL/0019 (7).jpg
0019 (8).jpg,8,horse,images/train/REAL/0019 (8).jpg
0019 (9).jpg,9,ship,images/train/REAL/0019 (9).jpg
0019.jpg,1,airplane,images/train/REAL/0019.jpg
0020 (10).jpg,10,truck,images/train/REAL/0020 (10).jpg
0020 (2).jpg,2,automobile,images/train/REAL/0020 (2).jpg
0020 (3).jpg,3,bird,images/train/REAL/0020 (3).jpg
0020 (4).jpg,4,cat,images/train/REAL/0020 (4).jpg
0020 (5).jpg,5,deer,images/train/REAL/0020 (5).jpg
0020 (6).jpg,6,dog,images/train/REAL/0020 (6).jpg
0020 (7).jpg,7,frog,images/train/REAL/0020 (7).jpg
0020 (8).jpg,8,horse,images/train/REAL/0020 (8).jpg
0020 (9).jpg,9,ship,images/train/REAL/0020 (9).jpg
0020.jpg,1,airplane,images/train/REAL/0020.jpg
0021 (10).jpg,10,truck,images/train/REAL/0021 (10).jpg
0021 (2).jpg,2,automobile,images/train/REAL/0021 (2).jpg
0021 (3).jpg,3,bird,images/train/REAL/0021 (3).jpg
0021 (4).jpg,4,cat,images/train/REAL/0021 (4).jpg
0021 (5).jpg,5,deer,images/train/REAL/0021 (5).jpg
0021 (6).jpg,6,dog,images/train/REAL/0021 (6).jpg
0021 (7).jpg,7,frog,images/train/REAL/0021 (7).jpg
0021 (8).jpg,8,horse,images/train/REAL/0021 (8).jpg
0021 (9).jpg,9,ship,images/train/REAL/0021 (9).jpg
0021.jpg,1,airplane,images/train/REAL/0021.jpg
0022 (10).jpg,10,truck,images/train/REAL/0022 (10).jpg
0022 (2).jpg,2,automobile,images/train/REAL/0022 (2).jpg
0022 (3).jpg,3,bird,images/train/REAL/0022 (3).jpg
0022 (4).jpg,4,cat,images/train/REAL/0022 (4).jpg
0022 (5).jpg,5,deer,images/train/REAL/0022 (5).jpg
0022 (6).jpg,6,dog,images/train/REAL/0022 (6).jpg
0022 (7).jpg,7,frog,images/train/REAL/0022 (7).jpg
0022 (8).jpg,8,horse,images/train/REAL/0022 (8).jpg
0022 (9).jpg,9,ship,images/train/REAL/0022 (9).jpg
0022.jpg,1,airplane,images/train/REAL/0022.jpg
0023 (10).jpg,10,truck,images/train/REAL/0023 (10).jpg
0023 (2).jpg,2,automobile,images/train/REAL/0023 (2).jpg
0023 (3).jpg,3,bird,images/train/REAL/0023 (3).jpg
0023 (4).jpg,4,cat,images/train/REAL/0023 (4).jpg
0023 (5).jpg,5,deer,images/train/REAL/0023 (5).jpg
0023 (6).jpg,6,dog,images/train/REAL/0023 (6).jpg
0023 (7).jpg,7,frog,images/train/REAL/0023 (7).jpg
0023 (8).jpg,8,horse,images/train/REAL/0023 (8).jpg
0023 (9).jpg,9,ship,images/train/REAL/0023 (9).jpg
0023.jpg,1,airplane,images/train/REAL/0023.jpg
0024 (10).jpg,10,truck,images/train/REAL/0024 (10).jpg
0024 (2).jpg,2,automobile,images/train/REAL/0024 (2).jpg
0024 (3).jpg,3,bird,images/train/REAL/0024 (3).jpg
0024 (4).jpg,4,cat,images/train/REAL/0024 (4).jpg
0024 (5).jpg,5,deer,images/train/REAL/0024 (5).jpg
0024 (6).jpg,6,dog,images/train/REAL/0024 (6).jpg
0024 (7).jpg,7,frog,images/train/REAL/0024 (7).jpg
0024 (8).jpg,8,horse,images/train/REAL/0024 (8).jpg
0024 (9).jpg,9,ship,images/train/REAL/0024 (9).jpg
0024.jpg,1,airplane,images/train/REAL/0024.jpg
0025 (10).jpg,10,truck,images/train/REAL/0025 (10).jpg
0025 (2).jpg,2,automobile,images/train/REAL/0025 (2).jpg
0025 (3).jpg,3,bird,images/train/REAL/0025 (3).jpg
0025 (4).jpg,4,cat,images/train/REAL/0025 (4).jpg
0025 (5).jpg,5,deer,images/train/REAL/0025 (5).jpg
0025 (6).jpg,6,dog,images/train/REAL/0025 (6).jpg
0025 (7).jpg,7,frog,images/train/REAL/0025 (7).jpg
0025 (8).jpg,8,horse,images/train/REAL/0025 (8).jpg
0025 (9).jpg,9,ship,images/train/REAL/0025 (9).jpg
0025.jpg,1,airplane,images/train/REAL/0025.jpg
0026 (10).jpg,10,truck,images/train/REAL/0026 (10).jpg
0026 (2).jpg,2,automobile,images/train/REAL/0026 (2).jpg
0026 (3).jpg,3,bird,images/train/REAL/0026 (3).jpg
0026 (4).jpg,4,cat,images/train/REAL/0026 (4).jpg
0026 (5).jpg,5,deer,images/train/REAL/0026 (5).jpg
0026 (6).jpg,6,dog,images/train/REAL/0026 (6).jpg
0026 (7).jpg,7,frog,images/train/REAL/0026 (7).jpg
0026 (8).jpg,8,horse,images/train/REAL/0026 (8).jpg
0026 (9).jpg,9,ship,images/train/REAL/0026 (9).jpg
0026.jpg,1,airplane,images/train/REAL/0026.jpg
0027 (10).jpg,10,truck,images/train/REAL/0027 (10).jpg
0027 (2).jpg,2,automobile,images/train/REAL/0027 (2).jpg
0027 (3).jpg,3,bird,images/train/REAL/0027 (3).jpg
0027 (4).jpg,4,cat,images/train/REAL/0027 (4).jpg
0027 (5).jpg,5,deer,images/train/REAL/0027 (5).jpg
0027 (6).jpg,6,dog,images/train/REAL/0027 (6).jpg
0027 (7).jpg,7,frog,images/train/REAL/0027 (7).jpg
0027 (8).jpg,8,horse,images/train/REAL/0027 (8).jpg
0027 (9).jpg,9,ship,images/train/REAL/0027 (9).jpg
0027.jpg,1,airplane,images/train/REAL/0027.jpg
0028 (10).jpg,10,truck,images/train/REAL/0028 (10).jpg
0028 (2).jpg,2,automobile,images/train/REAL/0028 (2).jpg
0028 (3).jpg,3,bird,images/train/REAL/0028 (3).jpg
0028 (4).jpg,4,cat,images/train/REAL/0028 (4).jpg
0028 (5).jpg,5,deer,images/train/REAL/0028 (5).jpg
0028 (6).jpg,6,dog,images/train/REAL/0028 (6).jpg
0028 (7).jpg,7,frog,images/train/REAL/0028 (7).jpg
0028 (8).jpg,8,horse,images/train/REAL/0028 (8).jpg
0028 (9).jpg,9,ship,images/train/REAL/0028 (9).jpg
0028.jpg,1,airplane,images/train/REAL/0028.jpg
0029 (10).jpg,10,truck,images/train/REAL/0029 (10).jpg
0029 (2).jpg,2,automobile,images/train/REAL/0029 (2).jpg
0029 (3).jpg,3,bird,images/train/REAL/0029 (3).jpg
0029 (4).jpg,4,cat,images/train/REAL/0029 (4).jpg
0029 (5).jpg,5,deer,images/train/REAL/0029 (5).jpg
0029 (6).jpg,6,dog,images/train/REAL/0029 (6).jpg
0029 (7).jpg,7,frog,images/train/REAL/0029 (7).jpg
0029 (8).jpg,8,horse,images/train/REAL/0029 (8).jpg
0029 (9).jpg,9,ship,images/train/REAL/0029 (9).jpg
0029.jpg,1,airplane,images/train/REAL/0029.jpg
0030 (10).jpg,10,truck,images/train/REAL/0030 (10).jpg
0030 (2).jpg,2,automobile,images/train/REAL/0030 (2).jpg
0030 (3).jpg,3,bird,images/train/REAL/0030 (3).jpg
0030 (4).jpg,4,cat,images/train/REAL/0030 (4).jpg
0030 (5).jpg,5,deer,images/train/REAL/0030 (5).jpg
0030 (6).jpg,6,dog,images/train/REAL/0030 (6).jpg
0030 (7).jpg,7,frog,images/train/REAL/0030 (7).jpg
0030 (8).jpg,8,horse,images/train/REAL/0030 (8).jpg
0030 (9).jpg,9,ship,images/train/REAL/0030 (9).jpg
0030.jpg,1,airplane,images/train/REAL/0030.jpg
0031 (10).jpg,10,truck,images/train/REAL/0031 (10).jpg
0031 (2).jpg,2,automobile,images/train/REAL/0031 (2).jpg
0031 (3).jpg,3,bird,images/train/REAL/0031 (3).jpg
0031 (4).jpg,4,cat,images/train/REAL/0031 (4).jpg
0031 (5).jpg,5,deer,images/train/REAL/0031 (5).jpg
0031 (6).jpg,6,dog,images/train/REAL/0031 (6).jpg
0031 (7).jpg,7,frog,images/train/REAL/0031 (7).jpg
0031 (8).jpg,8,horse,images/train/REAL/0031 (8).jpg
0031 (9).jpg,9,ship,images/train/REAL/0031 (9).jpg
0031.jpg,1,airplane,images/train/REAL/0031.jpg
0032 (10).jpg,10,truck,images/train/REAL/0032 (10).jpg
0032 (2).jpg,2,automobile,images/train/REAL/0032 (2).jpg
0032 (3).jpg,3,bird,images/train/REAL/0032 (3).jpg
0032 (4).jpg,4,cat,images/train/REAL/0032 (4).jpg
0032 (5).jpg,5,deer,images/train/REAL/0032 (5).jpg
0032 (6).jpg,6,dog,images/train/REAL/0032 (6).jpg
0032 (7).jpg,7,frog,images/train/REAL/0032 (7).jpg
0032 (8).jpg,8,horse,images/train/REAL/0032 (8).jpg
0032 (9).jpg,9,ship,images/train/REAL/0032 (9).jpg
0032.jpg,1,airplane,images/train/REAL/0032.jpg
0033 (10).jpg,10,truck,images/train/REAL/0033 (10).jpg
0033 (2).jpg,2,automobile,images/train/REAL/0033 (2).jpg
0033 (3).jpg,3,bird,images/train/REAL/0033 (3).jpg
0033 (4).jpg,4,cat,images/train/REAL/0033 (4).jpg
0033 (5).jpg,5,deer,images/train/REAL/0033 (5).jpg
0033 (6).jpg,6,dog,images/train/REAL/0033 (6).jpg
0033 (7).jpg,7,frog,images/train/REAL/0033 (7).jpg
0033 (8).jpg,8,horse,images/train/REAL/0033 (8).jpg
0033 (9).jpg,9,ship,images/train/REAL/0033 (9).jpg
0033.jpg,1,airplane,images/train/REAL/0033.jpg
0034 (10).jpg,10,truck,images/train/REAL/0034 (10).jpg
0034 (2).jpg,2,automobile,images/train/REAL/0034 (2).jpg
0034 (3).jpg,3,bird,images/train/REAL/0034 (3).jpg
0034 (4).jpg,4,cat,images/train/REAL/0034 (4).jpg
0034 (5).jpg,5,deer,images/train/REAL/0034 (5).jpg
0034 (6).jpg,6,dog,images/train/REAL/0034 (6).jpg
0034 (7).jpg,7,frog,images/train/REAL/0034 (7).jpg
0034 (8).jpg,8,horse,images/train/REAL/0034 (8).jpg
0034 (9).jpg,9,ship,images/train/REAL/0034 (9).jpg
0034.jpg,1,airplane,images/train/REAL/0034.jpg
0035 (10).jpg,10,truck,images/train/REAL/0035 (10).jpg
0035 (2).jpg,2,automobile,images/train/REAL/0035 (2).jpg
0035 (3).jpg,3,bird,images/train/REAL/0035 (3).jpg
0035 (4).jpg,4,cat,images/train/REAL/0035 (4).jpg
0035 (5).jpg,5,deer,images/train/REAL/0035 (5).jpg
0035 (6).jpg,6,dog,images/train/REAL/0035 (6).jpg
0035 (7).jpg,7,frog,images/train/REAL/0035 (7).jpg
0035 (8).jpg,8,horse,images/train/REAL/0035 (8).jpg
0035 (9).jpg,9,ship,images/train/REAL/0035 (9).jpg
0035.jpg,1,airplane,images/train/REAL/0035.jpg
0036 (10).jpg,10,truck,images/train/REAL/0036 (10).jpg
0036 (2).jpg,2,automobile,images/train/REAL/0036 (2).jpg
0036 (3).jpg,3,bird,images/train/REAL/0036 (3).jpg
0036 (4).jpg,4,cat,images/train/REAL/0036 (4).jpg
0036 (5).jpg,5,deer,images/train/REAL/0036 (5).jpg
0036 (6).jpg,6,dog,images/train/REAL/0036 (6).jpg
0036 (7).jpg,7,frog,images/train/REAL/0036 (7).jpg
0036 (8).jpg,8,horse,images/train/REAL/0036 (8).jpg
0036 (9).jpg,9,ship,images/train/REAL/0036 (9).jpg
0036.jpg,1,airplane,images/train/REAL/0036.jpg
0037 (10).jpg,10,truck,images/train/REAL/0037 (10).jpg
0037 (2).jpg,2,automobile,images/train/REAL/0037 (2).jpg
0037 (3).jpg,3,bird,images/train/REAL/0037 (3).jpg
0037 (4).jpg,4,cat,images/train/REAL/0037 (4).jpg
0037 (5).jpg,5,deer,images/train/REAL/0037 (5).jpg
0037 (6).jpg,6,dog,images/train/REAL/0037 (6).jpg
0037 (7).jpg,7,frog,images/train/REAL/0037 (7).jpg
0037 (8).jpg,8,horse,images/train/REAL/0037 (8).jpg
0037 (9).jpg,9,ship,images/train/REAL/0037 (9).jpg
0037.jpg,1,airplane,images/train/REAL/0037.jpg
0038 (10).jpg,10,truck,images/train/REAL/0038 (10).jpg
0038 (2).jpg,2,automobile,images/train/REAL/0038 (2).jpg
0038 (3).jpg,3,bird,images/train/REAL/0038 (3).jpg
0038 (4).jpg,4,cat,images/train/REAL/0038 (4).jpg
0038 (5).jpg,5,deer,images/train/REAL/0038 (5).jpg
0038 (6).jpg,6,dog,images/train/REAL/0038 (6).jpg
0038 (7).jpg,7,frog,images/train/REAL/0038 (7).jpg
0038 (8).jpg,8,horse,images/train/REAL/0038 (8).jpg
0038 (9).jpg,9,ship,images/train/REAL/0038 (9).jpg
0038.jpg,1,airplane,images/train/REAL/0038.jpg
0039 (10).jpg,10,truck,images/train/REAL/0039 (10).jpg
0039 (2).jpg,2,automobile,images/train/REAL/0039 (2).jpg
0039 (3).jpg,3,bird,images/train/REAL/0039 (3).jpg
0039 (4).jpg,4,cat,images/train/REAL/0039 (4).jpg
0039 (5).jpg,5,deer,images/train/REAL/0039 (5).jpg
0039 (6).jpg,6,dog,images/train/REAL/0039 (6).jpg
0039 (7).jpg,7,frog,images/train/REAL/0039 (7).jpg
0039 (8).jpg,8,horse,images/train/REAL/0039 (8).jpg
0039 (9).jpg,9,ship,images/train/REAL/0039 (9).jpg
0039.jpg,1,airplane,images/train/REAL/0039.jpg
0040 (10).jpg,10,truck,images/train/REAL/0040 (10).jpg
0040 (2).jpg,2,automobile,images/train/REAL/0040 (2).jpg
0040 (3).jpg,3,bird,images/train/REAL/0040 (3).jpg
0040 (4).jpg,4,cat,images/train/REAL/0040 (4).jpg
0040 (5).jpg,5,deer,images/train/REAL/0040 (5).jpg
0040 (6).jpg,6,dog,images/train/REAL/0040 (6).jpg
0040 (7).jpg,7,frog,images/train/REAL/0040 (7).jpg
0040 (8).jpg,8,horse,images/train/REAL/0040 (8).jpg
0040 (9).jpg,9,ship,images/train/REAL/0040 (9).jpg
0040.jpg,1,airplane,images/train/REAL/0040.jpg
0041 (10).jpg,10,truck,images/train/REAL/0041 (10).jpg
0041 (2).jpg,2,automobile,images/train/REAL/0041 (2).jpg
0041 (3).jpg,3,bird,images/train/REAL/0041 (3).jpg
0041 (4).jpg,4,cat,images/train/REAL/0041 (4).jpg
0041 (5).jpg,5,deer,images/train/REAL/0041 (5).jpg
0041 (6).jpg,6,dog,images/train/REAL/0041 (6).jpg
0041 (7).jpg,7,frog,images/train/REAL/0041 (7).jpg
0041 (8).jpg,8,horse,images/train/REAL/0041 (8).jpg
0041 (9).jpg,9,ship,images/train/REAL/0041 (9).jpg
0041.jpg,1,airplane,images/train/REAL/0041.jpg
0042 (10).jpg,10,truck,images/train/REAL/0042 (10).jpg
0042 (2).jpg,2,automobile,images/train/REAL/0042 (2).jpg
0042 (3).jpg,3,bird,images/train/REAL/0042 (3).jpg
0042 (4).jpg,4,cat,images/train/REAL/0042 (4).jpg
0042 (5).jpg,5,deer,images/train/REAL/0042 (5).jpg
0042 (6).jpg,6,dog,images/train/REAL/0042 (6).jpg
0042 (7).jpg,7,frog,images/train/REAL/0042 (7).jpg
0042 (8).jpg,8,horse,images/train/REAL/0042 (8).jpg
